,sample_name,site_id,sample_type,date,time,datetime,description,latitude,longitude,temperature_deg_C,pH,Conductivity_uS_cm,DO_percent,Alkalinity_meq_L,DOC_mg_L,DIC_mg_L,d13C_permil,pCO2_ppmv,Rn_bq_m3,Rn_sterror,pCO2_calc_dic_ph,u_pCO2_calc_dic_ph,alk_calc_dic_ph,u_alk_calc_dic_ph,dic_calc_alk_ph,u_dic_calc_alk_ph,pCO2_calc_alk_ph,u_pCO2_calc_alk_ph,dic_calc_pco2_ph,u_dic_calc_pco2_ph,alk_calc_pco2_ph,u_alk_calc_pco2_ph,pH_calc_dic_alk,u_pH_calc_dic_alk,pCO2_calc_dic_alk,u_pCO2_calc_dic_alk,pH_calc_dic_pco2,u_pH_calc_dic_pco2,alk_calc_dic_pco2,u_alk_calc_dic_pco2,ph_calc_alk_pco2,u_ph_calc_alk_pco2,dic_calc_alk_pco2,u_dic_calc_alk_pco2,KHenry,CO2_calc_alk_ph,CO2_calc_alk_pco2,bicarb_calc_alk_ph,bicarb_calc_alk_pco2,carb_calc_alk_ph,carb_calc_alk_pco2,pco2,CO2_calc,bicarb_calc,carb_calc,dic_calc,dic_calc_u,e_bg,e_dg,e_db,e_cg,e_cb,d13c_bicarb,d13c_co2,d13c_carb,value,label,next_stream,stream,strahler,topo,distance,elev_ft,area_10m2,wetland,elev_m
30,ER23-22,22,R,60723,02:30:00 PM,2023-06-07 14:30:00,This is a straight-ish reach,43.3002,-121.87805,10.3,7.08,39.79,96.9,0.3123609776,2.179,6.35910921,-12.95709967,1486.393087,168.95370372367,21.177828271669,1942.2984547422468,362.2890257300852,427.2575521683005,20.64334961569834,387.4356911752576,42.457102273475016,1420.0399196132637,356.787995525051,405.5391155319115,79.13805104582507,326.9586359084663,77.90238870466682,6.619187306038089,0.1072358431688712,4107.595532000656,615.6984518705189,7.219981030999356,0.0517913673290635,451.4982360967279,10.6660391513401,7.06018972769953,0.0505830865988424,390.95815095023937,31.55763489093963,0.0531250811931892,0.0751504271454797,0.0786619262256795,0.312162570047891,0.3121789955140673,0.0001226939818867,0.0001172292104924,1486.393087,0.0786619262256795,0.3121789955140673,0.0001172292104924,390.95815095023937,390.95815095023937,9.604769999999998,-1.25953,-10.864299999999998,6.6844,-3.025865234588135,-10.793867770078748,-22.647303470078747,-14.816707139432294,99.0,,-1.0,99.0,4.0,1.0,5959.55429917383,4956.253,402583.0,1.0,1510.6659144
31,ER23-23,23,R,60623,12:21:00 PM,2023-06-06 12:21:00,outlet measurement,43.32885,-121.84604,8.9,7.3,40.8,98.8,0.3046413296,3.235,5.083059285,-11.98954246,829.7372324,141.617132079179,22.6942924300997,993.1432651987255,199.8212456543719,368.6832504323619,12.960971363840988,350.0085326842574,36.56345983489592,820.628517215789,206.2629563217837,353.89351592500697,74.04233188096896,308.0227194436641,73.40929495674085,6.883868255830211,0.1566902880024329,2141.7791747014785,564.0579722473341,7.388573739906421,0.0494739844476706,377.8357391465198,8.132929270712461,7.295213600552483,0.0505675381230695,350.51746219948006,30.54312015961317,0.0557368259280945,0.0455606072859183,0.0460663155164768,0.3042573943934595,0.30426270072239,0.0001905310048794,0.0001884459606132,829.7372324,0.0460663155164768,0.30426270072239,0.0001884459606132,350.51746219948006,350.51746219948006,9.76451,-1.26639,-11.0309,6.7572,-3.116222738890426,-10.553462253923776,-22.573331353923777,-14.666568770075312,99.0,,-1.0,99.0,4.0,1.0,197.279226926478,4861.393,462196.0,1.0,1481.7525864000002
32,ER23-24,24,R,61223,01:48:00 PM,2023-06-12 13:48:00,Downstream of beaver camp. River width is about 4 m here,43.28495,-121.93915,8.4,7.18,29.73,99.3,0.3072520929,0.7733,5.268066176,-10.4419077,1045.350861,254.058686094964,22.0610878363443,1293.1823759779866,249.401017961325,366.0946894630928,15.561977886547613,368.44925045664144,39.48036218022316,1085.3441727141155,272.72227812821285,354.87244588644165,71.40304016989252,295.9292933883627,70.51476380944511,6.848332544236521,0.146647161369565,2331.244903377433,560.1205016617981,7.288645150024911,0.0509552763596661,380.1777542726566,8.680901012699733,7.196284368718579,0.0505779746748076,366.1805690829614,30.89071175694497,0.0567148616029811,0.0613131886899655,0.0590538892630084,0.306992382445337,0.3069775180225965,0.0001436793213389,0.0001491617973564,1045.350861,0.0590538892630084,0.3069775180225965,0.0001491617973564,366.1805690829614,366.1805690829614,9.82156,-1.26884,-11.0904,6.7832,-3.1485065988640413,-8.667591425176077,-20.74690102517608,-12.812949517441254,88.0,,92.0,88.0,3.0,6.0,14752.8554394583,5053.277,95338.0,1.0,1540.2388296000001
33,ER23-24 PZ,24,PZ,61223,02:00:00 PM,2023-06-12 14:00:00,"downstream of beaver camp, inside of bend",43.28495,-121.93915,19.8,6.11,406.9,,0.4971167485,7.7268,31.80672688,-22.07401465,50166.13587,,,44050.15832555441,3613.859224890927,920.566881606036,139.60047457722413,1432.3490782697538,258.8031956223827,23804.475291012244,5982.203611811388,3018.5676262681536,301.9703426884899,1048.4860780515407,249.8941934793673,5.7487070334839006,0.0539300599487539,54810.03081519353,1750.3972650535816,5.922419427750587,0.1716969240204763,680.0239660517533,127.73239001547226,5.78702311615615,0.0503575442045299,2468.1032920696307,128.22036531952068,0.0393909000280425,0.9344915606316128,1.9693704661372688,0.4978307103414068,0.4987200600366858,2.6807296734173738e-05,1.2765895675997714e-05,50166.13587,1.9693704661372688,0.4987200600366858,1.2765895675997714e-05,2468.1032920696307,2468.1032920696307,8.52082,-1.21298,-9.7338,6.1904,-2.414175214220177,-14.419115421209307,-25.143181621209308,-17.830876460215265,,,,,,,,,,,
34,ER23-27,27,R,60923,02:13:00 PM,2023-06-09 14:13:00,"Mainstem north subcatchment, from here went to find the sample that was ultimately named ER23-96.",43.2934,-121.94202,8.1,6.93,47.26,97.6,0.3460897319,1.161,5.905588655,-11.68469159,1131.456448,260.920837017181,27.837907517808,2270.739536520264,387.3750816968405,362.4996872684892,22.995865155207845,469.8600320795075,54.98082806920641,2167.9730447943653,544.584003066077,245.2180686611216,44.131187141747816,180.57672463045876,43.04721744054539,6.8583113608340085,0.1483255162287471,2557.451698047085,624.2690540384015,7.304042003691162,0.050762767211566,427.8042019855785,9.691963696040355,7.212114397026943,0.0505794067862144,410.5301287735671,34.78276082585197,0.0573136312990864,0.1237640844397798,0.0645919799171153,0.3460056987120626,0.3457654637796857,9.024892766499457e-05,0.000172685076766,1131.456448,0.0645919799171153,0.3457654637796857,0.000172685076766,410.5301287735671,410.5301287735671,9.85579,-1.27031,-11.1261,6.7988,-3.1678802814797717,-9.950232709657802,-22.0652066096578,-14.114945110856096,93.0,,94.0,93.0,3.0,5.0,14913.271750195,5006.765,150541.0,1.0,1526.0619720000002
35,ER23-3,3,R,60923,10:15:00 AM,2023-06-09 10:15:00,Gently flowing small stream crosses the trail,43.29562,-121.94952,7.2,7.58,64.95,98.5,0.6417598613,0.5837,8.668006894,-14.07369214,1420.25363,,,926.2553436128022,198.06861245721092,668.5666306323601,16.883996701082076,693.3686840266416,70.42319864833297,889.1129735275267,223.63873448701284,1107.575099832544,245.22737092622344,1025.1001012579334,244.4739518634777,7.390862995706096,0.3898849489475333,1375.5340408287434,1101.7588393171452,7.375191315332682,0.0498750983031695,639.1025798239395,13.971704324751403,7.376990511933163,0.050568391266236,724.9870347607141,64.27454200483156,0.0591655853782148,0.0523948473074768,0.08369461957855,0.6402480097647436,0.640837193355966,0.0007258269544211,0.000455221826198,1420.25363,0.08369461957855,0.640837193355966,0.000455221826198,724.9870347607141,724.9870347607141,9.95848,-1.27472,-11.2332,6.8456,-3.22601648226862,-12.791486941408785,-25.01345374140878,-17.014277407195134,90.0,,93.0,90.0,1.0,6.0,15942.8049711977,5020.875,2809.0,,1530.3627000000001
36,ER23-37,37,R,60723,10:30:00 AM,2023-06-07 10:30:00,Probably about 15 meters away from the actual site 37 and maybe across the river. Didn't record the temperature here.,43.28931,-121.92989,,7.16,39.81,96.3,0.311053277,1.29,5.098574103,-12.85571077,1104.966926,171.924453655318,17.2825496319319,1307.710275675215,250.6193666698829,352.06683412904016,15.353978919059616,375.3896023415608,40.38916284778246,1155.3838319027568,290.3143267546468,359.0089141792907,71.81851882200068,297.4786369092685,70.88309068495032,6.9132907666925405,0.1642097436626052,2040.3388420453216,572.6189771553494,7.246854315364604,0.0515861656304645,363.4378865490282,8.514701314951624,7.179352516976245,0.0505788722838112,372.5662914865927,31.286555281125796,0.0559975026822165,0.0644455048005961,0.0616333285681864,0.3108036609579804,0.3107861351220167,0.0001404365829842,0.0001468277963895,1104.966926,0.0616333285681864,0.3107861351220167,0.0001468277963895,372.5662914865927,372.5662914865927,,,,,,,,,94.0,,96.0,94.0,4.0,4.0,13450.8958028668,4991.06,265674.0,1.0,1521.275088
37,ER23-54,54,FSP,60723,03:00:00 PM,2023-06-07 15:00:00,"valley between two convex hillslopes, groundwater emerges from subsurface and forms spring",43.29676,-121.90181,6.24,7.74,25.0,,0.5923134208,0.4933,7.18707357,-11.82522978,,,,537.3695575787079,117.53544154383572,567.1442187765692,12.602875060328293,625.5068067954334,63.08990476061501,561.221441950759,141.27913901386552,,,,,8.265959085741878,1.928768893069004,165.8570115125864,728.5342009340168,,,,,,,,,0.0612371359078354,0.0342286299896411,,0.5903391672457265,,0.0009390095600656,,561.221441950759,0.0342286299896411,0.5903391672457265,0.0009390095600656,625.5068067954334,625.5068067954334,10.068016,-1.279424,-11.34744,6.895519999999999,-3.2880534891537643,-11.206359445320244,-23.542452005320243,-15.491124880984854,,,,,,,,,,,
38,ER23-7,7,R,60723,12:00:00 AM,2023-06-07 00:00:00,Fairly close to 23,43.31962,-121.85446,10.7,7.15,40.095,99.35,0.3375502968,2.448,5.97167959,-12.07971573,1137.189373,,,1608.4088363497742,309.330609087217,413.8286330878186,17.792709981359526,405.9191573262376,43.57497642803396,1311.960462005648,329.6658962619291,351.8451701683409,70.61258795243252,292.5804165297651,69.71909457641168,6.7819244902074685,0.1368357956286806,3064.656719665184,667.2413803871026,7.325553971514159,0.0500705968769718,438.59062789899855,9.665223014427973,7.212004935678543,0.0505745856368053,396.7537420513895,33.89712858101093,0.0524116434651234,0.0684996628869447,0.0593745703052907,0.3372619603703449,0.337197496227999,0.0001575340689479,0.0001816755180997,1137.189373,0.0593745703052907,0.337197496227999,0.0001816755180997,396.7537420513895,396.7537420513895,9.55913,-1.25757,-10.8167,6.6636,-3.00005889921514,-10.476585817963452,-22.28246911796345,-14.473644658279376,99.0,,-1.0,99.0,4.0,1.0,1674.09168285584,4927.279,451710.0,1.0,1501.8346392000003
39,ER23-72,72,P,61123,09:19:00 AM,2023-06-11 09:19:00,organic-rich side channel draining beaver camp,43.283789,-121.94094,10.0,6.48,27.3,74.1,0.2621862472,6.837272,6.900708445,-16.83076313,4345.744336,,,5281.612990586577,626.2958044952784,292.39511138578183,33.59937901589763,515.7121006377138,77.92370794762579,4736.542779930488,1190.186548994228,473.16218695398265,62.30763289815653,240.52742804989305,57.40200685473323,6.388821387137941,0.08083086260695,5845.032173071396,525.7174296738733,6.633221633657953,0.0740315791942577,342.55062480084666,17.394344157035125,6.517343204909217,0.0505341277285894,494.7885057130137,29.67126545332429,0.0536695106775484,0.2532292637747124,0.2323360497072418,0.262457147756777,0.2624244637361246,2.5689106224395827e-05,2.799226964719648e-05,4345.744336,0.2323360497072418,0.2624244637361246,2.799226964719648e-05,494.7885057130137,494.7885057130137,9.639,-1.261,-10.9,6.699999999999999,-3.0452229299363065,-11.7725745437149,-23.6616745437149,-15.81475225072127,,,,,,,,,,,
40,ER23-72 PZ,72,PZ,61123,09:45:00 AM,2023-06-11 09:45:00,piezometer near 72,43.28379,-121.94094,15.7,5.83,40.8,,0.4185653821,20.608866,27.16956709,-21.90607847,36788.22311,,,40438.98834172186,2058.400054892997,466.6659310656069,86.27083241215745,2031.49610691789,424.1139733667088,36283.970419599005,9130.071671284084,2059.728611949896,157.76990125523616,424.40286142747294,101.68282844641024,5.771709831587355,0.0537051340835395,41517.175601536284,1311.4448536666396,6.000246337706043,0.1585137117356044,629.2990402053902,106.39968299290456,5.824027517728776,0.050331795069836,2053.911953934909,106.61740112569542,0.0445721376058799,1.6114656075612035,1.6338607825848963,0.4200197549579495,0.4200405731732157,1.0744398736652284e-05,1.0598176796579154e-05,36788.22311,1.6338607825848963,0.4200405731732157,1.0598176796579154e-05,2053.911953934909,2053.911953934909,8.988629999999999,-1.23307,-10.221699999999998,6.4036,-2.6778579386111003,-13.887757346046149,-25.099235646046147,-17.562937426718637,,,,,,,,,,,
41,ER23-75 Jun12,75,R,61223,04:40:00 PM,2023-06-12 16:40:00,hobo site 75,43.2893,-121.93092,,,,,0.3384298552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0559975026822165,,,,,,,,,,,,,,,,,,,,,94.0,,96.0,94.0,4.0,4.0,13555.7486199645,4993.002,265213.0,,1521.8670096000003
42,ER23-79,79,R,61123,11:07:00 AM,2023-06-11 11:07:00,"left branch (north) above confluence. Large black boulders with 2-5 cm red abd black cobbles, mossy bottom",43.27782,-121.96536,5.18,7.39,18.0,,0.2093488192,0.4702,3.597442242,-7.883838427,452.0204881,,,556.2244251387142,113.52295732588,264.7172764785278,8.662622633329024,237.08189971817868,24.579453481246237,439.8816754035488,110.58193801711576,243.6243245003832,51.65055392914173,215.12577851826825,51.27802012038224,6.879995465389387,0.1458424705950348,1425.6327537290706,339.9975753543497,7.490724847046732,0.048748274505703,271.3959391909871,5.681019421865514,7.378198630487876,0.0505590486781764,237.85753624728784,20.969998923821414,0.0636468433215655,0.0278822825647229,0.0286517117647281,0.2090559807940801,0.2090660319736848,0.0001436363593755,0.0001397925088749,452.0204881,0.0286517117647281,0.2090660319736848,0.0001397925088749,237.85753624728784,237.85753624728784,10.188962,-1.284618,-11.47358,6.95064,-3.3565827447395886,-6.508796052593541,-18.970902472593544,-10.86202221458839,71.0,,72.0,71.0,2.0,9.0,17640.2061792163,5447.072,11351.0,,1660.2675456000002
43,ER23-80,80,R,61123,11:13:00 AM,2023-06-11 11:13:00,clover creek upstream,43.27762,-121.96526,4.83,7.4,17.0,,0.19255378,0.6307,3.609444272,-7.399981252,369.7745221,,,544.2299202718955,111.25488089176656,266.0346393944037,8.632570564770933,217.7053957859041,22.552329996309563,393.90592433446176,99.02793260943498,204.36836237317075,43.393031460434464,180.75795084097268,43.08912361520792,6.769957949476672,0.1222853550111355,1683.71577374382,310.5548356311309,7.585608307251347,0.0478580184347437,277.38441442280765,5.618293130021487,7.427404026300121,0.0505518182261543,216.14189150127035,19.272090163648738,0.0644721109023677,0.025291331567517,0.0237419380260717,0.1922803874048618,0.1922575867126882,0.0001336768135251,0.0001423667625103,369.7745221,0.0237419380260717,0.1922575867126882,0.0001423667625103,216.14189150127035,216.14189150127035,10.228897,-1.286333,-11.51523,6.96884,-3.3792172593951038,-6.140654835835533,-18.64436960583553,-10.516492877971242,14.0,,72.0,14.0,1.0,9.0,17634.3483146526,5446.707,4136.0,,1660.1562936000003
44,ER23-81,81,R,61123,10:10:00 AM,2023-06-11 10:10:00,ds confluence of 2 small southern subcatchments,43.27795,-121.965,4.58,7.55,17.0,,0.1992390381,0.5808,3.766202484,-7.597247858,655.0628613,72.0118217790048,12.0435835211481,414.7000431980544,87.70691050812997,287.2911811510991,7.735706852276838,217.6462186378592,22.20205934201504,287.58272022109395,72.3345724454803,495.7598099859127,108.64356458702562,453.7866732526263,108.19772175280836,6.762756832587852,0.120505744222562,1766.6209601928997,318.61710610742983,7.327385006153559,0.0509995488858612,271.5499333598728,6.212072932779438,7.193108824723849,0.0505736030665718,241.63941982313992,20.061394040707164,0.0650709011028041,0.0186359247040084,0.0424493590929033,0.1988166223741743,0.1991047892719948,0.0001936715596763,8.527145824170656e-05,655.0628613,0.0424493590929033,0.1991047892719948,8.527145824170656e-05,241.63941982313992,241.63941982313992,10.257422,-1.287558,-11.54498,6.98184,-3.395386876747512,-5.579238296660354,-18.11267331666036,-9.97122978653112,71.0,,72.0,71.0,2.0,9.0,17620.2061785764,5438.763,11492.0,,1657.7349624
45,ER23-83,83,R,61123,02:50:00 PM,2023-06-11 14:50:00,potentially main stem site (clover creek) in southern subcatchment with heinous levels of bugs. obs: flow is much gentler in the river compared to site 81 but the ground adjacent to the river is wetter. interp: more hyporheic flow/aquifer recharge?,43.27724,-121.95143,7.0,7.57,33.0,,0.4108672412,0.6578,5.580558037,-7.232013364,580.5392476,,,607.5942176499067,129.64675392391055,429.5135413295829,10.988335252752378,444.8549884947816,45.22118258922816,581.2135279161762,146.19701824236324,444.3389011226066,98.18287083931234,410.3906489170161,97.87406425052438,7.371953394712532,0.3734959060090182,917.8685315766116,700.5061764703602,7.591380498531413,0.0476033916047198,431.15037814050623,8.653325300150211,7.570502888130285,0.050527415749201,444.8143208566738,41.03939922227077,0.0595887914442047,0.0344951619927093,0.0344551432945583,0.4099084880844573,0.4099073175081491,0.0004513384176148,0.0004518600539663,580.5392476,0.0344551432945583,0.4099073175081491,0.0004518600539663,444.8143208566738,444.8143208566738,9.9813,-1.2757,-11.257,6.856,-3.2389387252299127,-6.36232895270575,-18.60807195270575,-10.598028739210433,87.0,,88.0,87.0,2.0,7.0,16493.5156669392,5080.626,19050.0,,1548.5748048
46,ER23-86,86,R,60723,01:30:00 PM,2023-06-07 13:30:00,"Close to site 10, but made new site number here ",43.29705,-121.89109,9.8,6.95,40.8,96.3,0.3327285295,1.836,5.724436022,-12.88381013,1483.769802,,,2190.4010556542125,381.8275995403095,359.14707625222627,21.50006768872333,441.9544102382548,50.878974702072334,2029.3158725502308,509.78414628032766,323.1426987993514,59.29769318265321,243.2570207453977,57.97107467281192,6.829356458592689,0.1454951898864258,2679.838790622137,636.7606458907866,7.162799519999556,0.0529764409386635,397.3265997343661,9.854003630553391,7.085839954858535,0.0505842398027148,412.5139290111098,33.58090379355664,0.0540369964740919,0.1092348694295515,0.0798689857884456,0.3326240130868861,0.3325143783931285,9.552772181716696e-05,0.0001305648295357,1483.769802,0.0798689857884456,0.3325143783931285,0.0001305648295357,412.5139290111098,412.5139290111098,9.66182,-1.26198,-10.923799999999998,6.7104,-3.058129462138508,-10.790660824026446,-22.70353702402645,-14.845732156702816,97.0,,99.0,97.0,4.0,2.0,7793.64598714965,4961.752,354255.0,1.0,1512.3420096000002
47,ER23-87,87,R,60823,11:06:00 AM,2023-06-08 11:06:00,Lil D headwaters,43.2936,-121.99086,7.06,7.4,36.0,,0.2041041517,0.7468,3.961894108,-8.364154627,507.2153127,83.4894240470863,11.3848210904566,615.8746184134209,126.71238889613429,293.91905201444644,9.221966222598777,229.2634999970067,23.67511364970283,427.66686860712576,107.52780108814784,271.9078010892253,58.07872882599826,242.0655830636082,57.702944353032734,6.704527723076605,0.1152466450356273,2125.816188660369,357.8282324901651,7.493635570114576,0.0484992997386966,300.43409570865026,6.230354347823524,7.326049057808256,0.0505600571050923,234.01461818591656,20.45609172465552,0.0594613749423179,0.0253279373721896,0.0300390762467099,0.2037835825672886,0.2038473173047154,0.0001519800575284,0.0001282246344911,507.2153127,0.0300390762467099,0.2038473173047154,0.0001282246344911,234.01461818591656,234.01461818591656,9.974454,-1.275406,-11.24986,6.85288,-3.235061934450699,-6.928321171071557,-19.16693131107156,-11.160148043587808,76.0,,82.0,76.0,2.0,10.0,21245.4963343418,5272.928,14976.0,,1607.1884544
48,ER23-88,88,R,60823,01:02:00 PM,2023-06-08 13:02:00,Ephemeral stream tributary to LIl D,43.29287,-121.99039,5.91,7.26,20.0,,0.2148214555,0.7878,4.319466762,-10.41974805,778.6330482,,,874.8169797383043,172.01566010149594,306.10173237869094,11.978403487930905,252.6223278938689,26.743862103651946,613.9599559282101,154.29932382379556,320.3793526142983,65.62269683548604,272.4446133413705,64.9225042160204,6.678020791606902,0.1091445999022446,2348.6652726340776,362.4837865339026,7.318897507522661,0.0508963609699683,312.0773382185692,7.109121581213191,7.156948204694904,0.0505751662873694,262.8322833110044,21.649064208033924,0.0619731939731854,0.0378945403034243,0.0480584134872195,0.2146159133960673,0.2146855986062354,0.0001118741943772,8.827121754943101e-05,778.6330482,0.0480584134872195,0.2146855986062354,8.827121754943101e-05,262.8322833110044,262.8322833110044,10.105669,-1.281041,-11.38671,6.91268,-3.3093846861828045,-8.353999666185752,-20.72932295618575,-12.660074967682371,81.0,,82.0,81.0,3.0,10.0,21188.9277900367,5255.236,23016.0,,1601.7959328
49,ER23-89,89,R,60823,11:45:00 AM,2023-06-08 11:45:00,"farthest upstream main stem site in the northern subcatchment. river contains angular cobbles and boulders, some sand grains. Knickpoints consistently along the length of the stream largely set by down trees. did our best to avoid turbulent or bubbly water despite knickpoints. Some tree throw adjacent to stream contain large cobbles and boulders",43.30012,-121.99405,6.7,7.22,43.65,100.0,0.127744058,0.6256,3.084428672,-7.32299359,366.2666093,,,683.2155520487586,132.85561600158078,216.13085720948732,8.883393288362083,151.932628863832,16.19800711243457,403.8455582224162,101.51417011825684,137.79487648925252,27.93663310548737,115.85486772792724,27.62270992619902,6.495058808614272,0.0872558317573274,2150.2084421377363,225.34411288919932,7.527174192534158,0.0482045345274975,235.33906499829084,4.827935267764241,7.262343100964121,0.0505510338817324,149.66263033648326,12.82027321160058,0.060231779761198,0.0242265750363392,0.0219722250569486,0.1276438538874175,0.1276218472722803,6.219994007519991e-05,6.855800725430274e-05,366.2666093,0.0219722250569486,0.1276218472722803,6.855800725430274e-05,149.66263033648326,149.66263033648326,10.01553,-1.27717,-11.2927,6.8716,-3.2583241949563844,-5.673014290591634,-17.954421590591632,-9.928080161353062,65.0,,70.0,65.0,2.0,12.0,22075.6182939939,5536.413,8366.0,,1687.4986824
50,ER23-9 PZ,9,PZ,60623,12:00:00 AM,2023-06-06 00:00:00,"fish camp piezometer, no ph or temp data",43.29267,-121.90694,,,,,0.711794576,,45.87788757,-22.64300441,56661.8501,,,,,,,,,,,,,,,5.837178267284979,0.0540023877836969,55754.967870591325,1772.2492769082244,5.798223662263378,0.2545886999105724,661.0711120519558,202.31473245310187,5.830185780232911,0.0504630670981925,3873.7656582949394,202.5805120332874,0.0559975026822165,,3.1605094617054874,,0.713241116070757,,1.5080518695115205e-05,56661.8501,3.1605094617054874,0.713241116070757,1.5080518695115205e-05,3873.7656582949394,3873.7656582949394,,,,,,,,,,,,,,,,,,,
51,ER23-90,90,R,60823,12:20:00 PM,2023-06-08 12:20:00,upstream tributary to the mains tem adjacent to site 89,43.29924,-121.99324,7.0,7.55,40.52,100.4,0.3263411111,0.3452,4.785643144,-8.446168189,420.0590347,,,543.6405619115868,115.57509780932024,366.9744861274645,9.59149688928627,354.6397849786104,36.10148024237616,483.4373968490186,121.59926254797188,308.14671499411344,67.85634146966922,283.5646764200113,67.62518175619235,7.147746015623157,0.241439612440875,1222.5480306250906,560.5489124597366,7.670460339902829,0.047004760224041,374.4743061075573,7.363378934855544,7.610872022412688,0.0505147755390767,350.8112814291736,32.57979350865336,0.0595887914442047,0.0286921252115896,0.024930604248715,0.3256052809945071,0.325486926821504,0.0003423787725136,0.0003937503589545,420.0590347,0.024930604248715,0.325486926821504,0.0003937503589545,350.8112814291736,350.8112814291736,9.9813,-1.2757,-11.257,6.856,-3.2389387252299127,-7.648694314129319,-19.89443731412932,-11.884394100634,38.0,,70.0,38.0,1.0,12.0,22017.3340208814,5522.336,2079.0,,1683.2080128000002
52,ER23-91,91,R,60823,03:01:00 PM,2023-06-08 15:01:00,"mainstem little deschutes in headwaters, upstream of orange frog pond, snow on ground, abundant hill break springs present",43.2890687,-121.985679,7.06,7.4,36.0,,0.2372637496,0.8056,4.406701023,-9.226496398,932.5305159,,,685.0196489406414,140.93855074332973,326.91585491142234,10.25529056045496,266.51362008336616,27.520481634140516,497.15303719820434,124.99148538449248,499.9106211466905,106.77947923556572,445.030883998038,106.07060604912508,6.756406386030709,0.1243639769693088,2192.3578098795497,414.7169579608495,7.246197020177678,0.0519113843112654,312.14341743513745,7.41112853820225,7.1272406493502745,0.0505774711795455,292.4416174193113,23.92928648038033,0.0594613749423179,0.0294431528716745,0.0552277397154849,0.2368937938410377,0.2371195095738585,0.0001766733706539,9.436812996776373e-05,932.5305159,0.0552277397154849,0.2371195095738585,9.436812996776373e-05,292.4416174193113,292.4416174193113,9.974454,-1.275406,-11.24986,6.85288,-3.235061934450699,-7.116036761123474,-19.354646901123477,-11.347863633639722,82.0,,83.0,82.0,3.0,9.0,20307.3844725018,5200.553,46118.0,,1585.1285544
53,ER23-92,92,SP,60823,,2023-06-08 00:00:00,spring in northern subcatchment. No time but likely around 3:30pm,43.28944,-121.98647,5.5,6.61,129.1,93.2,0.4495935213,0.698425,8.192023975,-13.05971665,4268.155605,,,4832.685202986665,625.402076363394,379.7142602539528,39.46959294501614,808.2224327018631,115.57746578543728,5721.493886970974,1436.9993118773364,602.922798550688,85.32452107463025,335.3302304207939,79.92978648790948,6.796909892537136,0.1290099579616982,3719.278864949918,742.6559024372932,6.702593663272556,0.0725304862704179,415.1456611758038,20.237372130848584,6.737172397663316,0.0505952987485994,717.0903144317203,47.710179900524565,0.0629053732252378,0.3584431650029634,0.2673936622156004,0.4497274613935009,0.4496272364337825,5.180630539868229e-05,6.941578233737206e-05,4268.155605,0.2673936622156004,0.4496272364337825,6.941578233737206e-05,717.0903144317203,717.0903144317203,10.15245,-1.28305,-11.4355,6.934,-3.3358913424465486,-8.83291205147176,-21.25697655147176,-13.16546750257586,,,,,,,,,,,
54,ER23-93,93,R,60823,04:10:00 PM,2023-06-08 16:10:00,tributary on south side of northern subcatchment,43.28686,-121.97719,5.72,7.21,22.0,,0.2748487089,0.7813,5.434215951,-8.317608485,807.6091361,,,1209.2861340961483,233.3437439587587,377.8406751288922,16.022501778498135,329.4225591779023,35.28564410236109,879.6841421048014,221.04193141391303,302.43203860985545,60.88108907911055,252.32716241435688,60.12690612746728,6.6982333076167775,0.1120089824520923,2861.7070919638404,460.1948333737666,7.413004188351564,0.0495913876343245,402.9687582998255,8.712621677250253,7.2470773216913,0.0505763839708307,324.923992899622,27.614350134615822,0.0624027171270794,0.0546711919199794,0.0501918267736509,0.274624543069332,0.2745940541954116,0.0001268241885908,0.0001381119305594,807.6091361,0.0501918267736509,0.2745940541954116,0.0001381119305594,324.923992899622,324.923992899622,10.127348,-1.281972,-11.40932,6.92256,-3.321667671658809,-6.565350426867679,-18.96326110686768,-10.88369643085483,77.0,,84.0,77.0,2.0,8.0,19254.1254207196,5156.186,6832.0,,1571.6054928
55,ER23-94,94,R,60823,04:45:00 AM,2023-06-08 04:45:00,location upstream of site 67 at landslide from Cappy Mt,43.29665,-121.9818,12.0,7.96,75.5,100.8,0.6937600923,0.4852,8.99030529,-6.928688829,,,,443.4475206049059,99.70395075040582,729.5949513912448,14.264295968807197,712.3791725148403,71.47804709943135,421.6579093931264,106.44464474984667,,,,,7.534961517115547,0.5756202592805748,1126.739107778896,1386.455832328522,,,,,,,,,0.0501876029117126,0.0210826019476499,,0.6891410358649205,,0.0021555347022698,,421.6579093931264,0.0210826019476499,0.6891410358649205,0.0021555347022698,712.3791725148403,712.3791725148403,9.4108,-1.2512,-10.662,6.596,-2.916219281984519,-6.606469743690917,-18.25780774369092,-10.519772806393451,67.0,,83.0,67.0,2.0,9.0,20425.6687475344,5482.353,4601.0,,1671.0211944
